id_produto,nome_produto,categoria,subcategoria,marca,preco_unitario,custo_unitario
56,Acessórios Esse 56,Eletrônicos,Acessórios,Zenith,1028.11,467.33
57,Acessórios Incidunt 57,Eletrônicos,Acessórios,Kairo,509.97,215.89
58,Ciclismo Accusantium 58,Esporte,Ciclismo,Zenith,1042.89,622.41
59,Maquiagem Enim 59,Beleza,Maquiagem,Kairo,944.19,687.16
60,Perfumaria Voluptas 60,Beleza,Perfumaria,Bruma,599.31,323.46
61,Infantil Repellendus 61,Moda,Infantil,Zenith,1202.47,550.49
62,Fitness Cumque 62,Esporte,Fitness,Bruma,368.7,151.52
63,Infantil A 63,Moda,Infantil,Aurora,1424.18,588.28
64,Feminino Hic 64,Moda,Feminino,Zenith,298.05,193.08
65,Acessórios Laudantium 65,Eletrônicos,Acessórios,Nortem,412.58,173.35
66,Outdoor Debitis 66,Esporte,Outdoor,Aurora,1724.65,735.14
67,Móveis Aliquid 67,Casa,Móveis,Solvex,1062.73,565.95
68,Cozinha Error 68,Casa,Cozinha,Zenith,415.91,218.02
69,Ciclismo Nobis 69,Esporte,Ciclismo,Solvex,606.93,309.03
70,Acessórios Aperiam 70,Eletrônicos,Acessórios,Zenith,514.46,208.75
71,Cuidados com a Pele Quae 71,Beleza,Cuidados com a Pele,Vivalta,672.31,288.79
72,Ciclismo Similique 72,Esporte,Ciclismo,Vivalta,35.69,15.21
73,Masculino Voluptatem 73,Moda,Masculino,Zenith,144.39,70.9
74,Masculino Id 74,Moda,Masculino,Solvex,266.29,134.31
75,Acessórios At 75,Eletrônicos,Acessórios,Bruma,432.8,191.97
76,Notebooks Aut 76,Eletrônicos,Notebooks,Kairo,990.52,543.43
77,Infantil Quis 77,Moda,Infantil,Aurora,821.53,668.36
78,Infantil In 78,Moda,Infantil,Kairo,657.25,477.95
79,Acessórios Sunt 79,Eletrônicos,Acessórios,Zenith,178.48,126.02
80,Cuidados com a Pele Sint 80,Beleza,Cuidados com a Pele,Aurora,934.43,483.49
81,Móveis Consequatur 81,Casa,Móveis,Vivalta,360.13,181.11
82,Fitness Est 82,Esporte,Fitness,Zenith,317.84,183.3
83,Perfumaria Ullam 83,Beleza,Perfumaria,Zenith,936.39,502.34
84,Decoração Labore 84,Casa,Decoração,Vivalta,620.58,481.26
85,Fitness Sint 85,Esporte,Fitness,Solvex,140.12,95.77
86,Maquiagem Sint 86,Beleza,Maquiagem,Aurora,476.39,341.64
87,Feminino Doloribus 87,Moda,Feminino,Solvex,1429.92,722.27
88,Maquiagem Quisquam 88,Beleza,Maquiagem,Bruma,798.47,604.38
89,Infantil Magnam 89,Moda,Infantil,Solvex,523.93,436.04
90,Ciclismo Laborum 90,Esporte,Ciclismo,Bruma,800.14,342.34
91,Cuidados com a Pele Exercitationem 91,Beleza,Cuidados com a Pele,Solvex,429.06,191.29
92,Outdoor Minima 92,Esporte,Outdoor,Solvex,1028.57,475.35
93,Perfumaria Vitae 93,Beleza,Perfumaria,Solvex,529.9,346.14
94,Masculino Reiciendis 94,Moda,Masculino,Vivalta,547.0,233.78
95,Móveis Laboriosam 95,Casa,Móveis,Aurora,31.03,14.32
96,Maquiagem Dignissimos 96,Beleza,Maquiagem,Bruma,124.66,103.08
97,Infantil Aperiam 97,Moda,Infantil,Aurora,1117.49,645.39
98,Feminino Magni 98,Moda,Feminino,Solvex,802.71,524.74
99,Cuidados com a Pele Molestias 99,Beleza,Cuidados com a Pele,Bruma,910.1,456.09
100,Fitness Aut 100,Esporte,Fitness,Vivalta,746.56,336.45
101,Feminino Aliquid 101,Moda,Feminino,Nortem,826.07,451.68
102,Cuidados com a Pele Assumenda 102,Beleza,Cuidados com a Pele,Zenith,1067.66,621.61
103,Acessórios Nemo 103,Eletrônicos,Acessórios,Zenith,424.8,191.52
104,Celulares Placeat 104,Eletrônicos,Celulares,Solvex,914.51,411.59
105,Maquiagem Reiciendis 105,Beleza,Maquiagem,Zenith,1187.98,560.68
106,Ciclismo Repellat 106,Esporte,Ciclismo,Zenith,18.7,14.18
107,Ciclismo Accusantium 107,Esporte,Ciclismo,Zenith,454.23,353.95
108,Móveis Temporibus 108,Casa,Móveis,Vivalta,1051.92,491.13
109,Maquiagem Ad 109,Beleza,Maquiagem,Kairo,895.92,421.59
110,Celulares Nam 110,Eletrônicos,Celulares,Zenith,913.36,515.83
111,Cuidados com a Pele Rem 111,Beleza,Cuidados com a Pele,Kairo,363.61,163.85
112,Maquiagem Nobis 112,Beleza,Maquiagem,Aurora,274.15,193.02
113,Móveis Quo 113,Casa,Móveis,Aurora,1301.98,527.47
114,Decoração Assumenda 114,Casa,Decoração,Kairo,495.2,288.97
115,Infantil Aut 115,Moda,Infantil,Aurora,46.82,22.14
116,Cuidados com a Pele Quisquam 116,Beleza,Cuidados com a Pele,Kairo,1124.6,583.65
117,Decoração Molestias 117,Casa,Decoração,Kairo,1202.34,771.0
118,Feminino Nulla 118,Moda,Feminino,Nortem,1449.77,744.47
119,Feminino Perferendis 119,Moda,Feminino,Kairo,789.62,409.93
120,Decoração Fuga 120,Casa,Decoração,Nortem,1701.13,758.14
121,Maquiagem Aperiam 121,Beleza,Maquiagem,Vivalta,368.63,207.61
122,Cuidados com a Pele Voluptatem 122,Beleza,Cuidados com a Pele,Solvex,1350.74,618.27
123,Ciclismo Excepturi 123,Esporte,Ciclismo,Aurora,734.06,373.97
124,Fitness Perferendis 124,Esporte,Fitness,Solvex,362.72,213.68
125,Infantil Provident 125,Moda,Infantil,Vivalta,1263.32,563.93
126,Cozinha Fugiat 126,Casa,Cozinha,Nortem,914.45,433.17
127,Feminino Voluptate 127,Moda,Feminino,Solvex,173.29,83.48
128,Móveis Vero 128,Casa,Móveis,Nortem,641.69,448.1
129,Móveis Debitis 129,Casa,Móveis,Bruma,1110.45,716.51
130,Feminino Esse 130,Moda,Feminino,Zenith,891.63,592.32
131,Móveis Ut 131,Casa,Móveis,Solvex,436.68,191.07
132,Cuidados com a Pele Earum 132,Beleza,Cuidados com a Pele,Aurora,178.37,133.24
133,Ciclismo Reiciendis 133,Esporte,Ciclismo,Aurora,35.25,15.23
134,Outdoor Illo 134,Esporte,Outdoor,Kairo,920.63,500.33
135,Decoração Inventore 135,Casa,Decoração,Kairo,338.84,154.47
136,Decoração Repellendus 136,Casa,Decoração,Aurora,361.57,185.45
137,Cuidados com a Pele Voluptatem 137,Beleza,Cuidados com a Pele,Kairo,738.12,387.87
138,Decoração Minima 138,Casa,Decoração,Vivalta,1523.37,689.72
139,Acessórios Et 139,Eletrônicos,Acessórios,Aurora,675.35,419.38
140,Acessórios Adipisci 140,Eletrônicos,Acessórios,Nortem,345.09,176.49
141,Cozinha A 141,Casa,Cozinha,Nortem,997.12,690.86
142,Feminino Mollitia 142,Moda,Feminino,Nortem,763.58,382.36
143,Feminino Porro 143,Moda,Feminino,Solvex,601.81,344.91
144,Decoração Officia 144,Casa,Decoração,Zenith,1070.89,684.92
145,Perfumaria Minus 145,Beleza,Perfumaria,Solvex,1639.21,783.63
146,Acessórios Dolore 146,Eletrônicos,Acessórios,Vivalta,336.35,223.26
147,Fitness Iusto 147,Esporte,Fitness,Zenith,306.4,125.22
148,Fitness Itaque 148,Esporte,Fitness,Solvex,276.53,149.52
149,Maquiagem Accusamus 149,Beleza,Maquiagem,Nortem,1286.45,579.24
150,Cozinha Esse 150,Casa,Cozinha,Aurora,868.55,688.22
151,Masculino Dolorem 151,Moda,Masculino,Solvex,275.84,180.22
152,Notebooks Tempora 152,Eletrônicos,Notebooks,Nortem,919.9,598.23
153,Maquiagem Laudantium 153,Beleza,Maquiagem,Aurora,1145.38,746.16
154,Fitness Accusamus 154,Esporte,Fitness,Kairo,598.7,287.36
155,Infantil Aut 155,Moda,Infantil,Zenith,950.32,464.96
156,Decoração Possimus 156,Casa,Decoração,Solvex,497.24,266.82
157,Fitness Error 157,Esporte,Fitness,Bruma,489.12,311.05
158,Masculino Modi 158,Moda,Masculino,Vivalta,1242.23,516.06
159,Maquiagem Ipsam 159,Beleza,Maquiagem,Aurora,784.59,329.77
160,Feminino Facere 160,Moda,Feminino,Nortem,306.74,190.29
161,Cozinha Delectus 161,Casa,Cozinha,Vivalta,806.23,519.27
162,Cozinha Mollitia 162,Casa,Cozinha,Vivalta,1162.95,473.67
163,Masculino Ea 163,Moda,Masculino,Zenith,933.12,684.83
164,Cozinha Illo 164,Casa,Cozinha,Zenith,734.92,563.55
165,Fitness Corrupti 165,Esporte,Fitness,Vivalta,206.7,85.49
166,Perfumaria Officia 166,Beleza,Perfumaria,Solvex,52.91,30.83
167,Celulares Quidem 167,Eletrônicos,Celulares,Bruma,304.68,217.34
168,Outdoor Facere 168,Esporte,Outdoor,Vivalta,412.75,191.19
169,Masculino Ea 169,Moda,Masculino,Aurora,605.87,426.13
170,Decoração Reprehenderit 170,Casa,Decoração,Solvex,1252.04,692.75
171,Cuidados com a Pele Assumenda 171,Beleza,Cuidados com a Pele,Bruma,609.89,443.35
172,Perfumaria Sunt 172,Beleza,Perfumaria,Bruma,855.07,476.76
173,Cuidados com a Pele Ea 173,Beleza,Cuidados com a Pele,Nortem,860.35,423.53
174,Decoração Ut 174,Casa,Decoração,Vivalta,980.07,436.34
175,Decoração Rem 175,Casa,Decoração,Aurora,470.71,335.64
176,Acessórios Voluptates 176,Eletrônicos,Acessórios,Nortem,1506.07,654.15
177,Decoração Distinctio 177,Casa,Decoração,Vivalta,906.18,432.73
178,Outdoor Est 178,Esporte,Outdoor,Nortem,30.28,17.21
179,Perfumaria Est 179,Beleza,Perfumaria,Zenith,1223.06,639.45
180,Ciclismo Inventore 180,Esporte,Ciclismo,Bruma,541.8,355.31
181,Outdoor Iure 181,Esporte,Outdoor,Bruma,240.1,184.27
182,Infantil Consequatur 182,Moda,Infantil,Solvex,1463.1,613.99
183,Decoração Atque 183,Casa,Decoração,Nortem,987.91,522.28
184,Fitness Accusantium 184,Esporte,Fitness,Nortem,983.36,684.25
185,Acessórios Aliquid 185,Eletrônicos,Acessórios,Bruma,661.28,369.72
186,Cuidados com a Pele Rem 186,Beleza,Cuidados com a Pele,Aurora,194.01,158.35
187,Perfumaria Animi 187,Beleza,Perfumaria,Nortem,209.13,156.89
188,Infantil Temporibus 188,Moda,Infantil,Aurora,431.42,356.35
189,Masculino Nihil 189,Moda,Masculino,Nortem,657.68,399.93
190,Outdoor Veritatis 190,Esporte,Outdoor,Nortem,838.74,376.31
191,Celulares Aperiam 191,Eletrônicos,Celulares,Aurora,119.85,54.27
192,Cuidados com a Pele Magnam 192,Beleza,Cuidados com a Pele,Nortem,362.87,153.47
193,Fitness Exercitationem 193,Esporte,Fitness,Zenith,233.82,106.35
194,Outdoor Ab 194,Esporte,Outdoor,Zenith,511.69,205.26
195,Ciclismo Tempore 195,Esporte,Ciclismo,Zenith,1162.33,619.09
196,Outdoor Quis 196,Esporte,Outdoor,Nortem,880.49,548.34
197,Infantil Quos 197,Moda,Infantil,Kairo,1269.04,585.31
198,Perfumaria Neque 198,Beleza,Perfumaria,Zenith,426.56,210.12
199,Móveis Quaerat 199,Casa,Móveis,Aurora,1026.75,692.29
200,Infantil Explicabo 200,Moda,Infantil,Solvex,430.5,352.99
201,Cozinha Exercitationem 201,Casa,Cozinha,Aurora,232.65,104.52
202,Acessórios Accusantium 202,Eletrônicos,Acessórios,Kairo,1143.34,628.95
203,Feminino Distinctio 203,Moda,Feminino,Vivalta,942.84,618.93
204,Acessórios Cum 204,Eletrônicos,Acessórios,Solvex,1201.99,498.73
205,Celulares Commodi 205,Eletrônicos,Celulares,Kairo,407.23,290.86
206,Celulares Molestiae 206,Eletrônicos,Celulares,Kairo,637.29,395.4
207,Decoração Mollitia 207,Casa,Decoração,Vivalta,723.42,589.22
208,Cozinha Numquam 208,Casa,Cozinha,Vivalta,275.76,116.44
209,Ciclismo Est 209,Esporte,Ciclismo,Zenith,511.42,242.82
210,Perfumaria Deleniti 210,Beleza,Perfumaria,Vivalta,712.27,439.46
211,Cozinha Sint 211,Casa,Cozinha,Aurora,1406.91,732.43
212,Perfumaria Ab 212,Beleza,Perfumaria,Kairo,826.84,365.01
213,Decoração Id 213,Casa,Decoração,Vivalta,21.45,10.57
214,Masculino Veritatis 214,Moda,Masculino,Kairo,835.96,499.59
215,Feminino Iusto 215,Moda,Feminino,Kairo,1191.51,579.59
216,Fitness Odit 216,Esporte,Fitness,Kairo,783.09,424.02
217,Infantil Iusto 217,Moda,Infantil,Nortem,404.89,233.67
218,Celulares Recusandae 218,Eletrônicos,Celulares,Solvex,544.69,423.33
219,Masculino Quos 219,Moda,Masculino,Vivalta,1023.98,700.06
220,Masculino Quisquam 220,Moda,Masculino,Vivalta,71.48,35.14
221,Ciclismo Odio 221,Esporte,Ciclismo,Aurora,989.48,502.94
222,Móveis Iste 222,Casa,Móveis,Zenith,631.47,488.7
223,Fitness Recusandae 223,Esporte,Fitness,Nortem,771.16,379.77
224,Maquiagem Ea 224,Beleza,Maquiagem,Nortem,1307.66,751.21
225,Acessórios Commodi 225,Eletrônicos,Acessórios,Aurora,275.61,219.99
226,Móveis Dolores 226,Casa,Móveis,Aurora,1851.85,756.24
227,Acessórios Rerum 227,Eletrônicos,Acessórios,Zenith,327.43,192.5
228,Maquiagem Rerum 228,Beleza,Maquiagem,Zenith,415.71,206.52
229,Maquiagem Nisi 229,Beleza,Maquiagem,Solvex,978.49,450.93
230,Cuidados com a Pele Ipsa 230,Beleza,Cuidados com a Pele,Vivalta,1147.21,542.85
231,Celulares Doloremque 231,Eletrônicos,Celulares,Kairo,1217.99,636.04
232,Cozinha Nam 232,Casa,Cozinha,Vivalta,337.13,134.96
233,Decoração Aperiam 233,Casa,Decoração,Solvex,1109.58,444.56
234,Decoração Eveniet 234,Casa,Decoração,Bruma,1079.99,613.71
235,Cozinha Excepturi 235,Casa,Cozinha,Vivalta,382.19,200.17
236,Maquiagem Nihil 236,Beleza,Maquiagem,Vivalta,516.32,210.73
237,Fitness Velit 237,Esporte,Fitness,Kairo,1446.54,583.79
238,Acessórios Dolorum 238,Eletrônicos,Acessórios,Aurora,275.16,116.72
239,Móveis Accusamus 239,Casa,Móveis,Solvex,289.22,179.71
240,Cozinha Voluptate 240,Casa,Cozinha,Kairo,803.74,413.9
241,Masculino Dicta 241,Moda,Masculino,Zenith,66.18,39.81
242,Decoração Officia 242,Casa,Decoração,Nortem,1086.89,712.8
243,Móveis Maxime 243,Casa,Móveis,Zenith,893.62,460.68
244,Acessórios Libero 244,Eletrônicos,Acessórios,Vivalta,486.99,266.51
245,Perfumaria Quasi 245,Beleza,Perfumaria,Bruma,763.81,480.23
246,Cuidados com a Pele Ea 246,Beleza,Cuidados com a Pele,Solvex,91.63,72.0
247,Decoração Autem 247,Casa,Decoração,Solvex,1244.11,705.04
248,Celulares Facere 248,Eletrônicos,Celulares,Aurora,1384.14,600.67
249,Fitness Officiis 249,Esporte,Fitness,Kairo,314.36,250.78
250,Perfumaria Officiis 250,Beleza,Perfumaria,Zenith,565.12,268.2
251,Acessórios Alias 251,Eletrônicos,Acessórios,Vivalta,1005.83,587.95
252,Maquiagem Voluptate 252,Beleza,Maquiagem,Nortem,608.5,408.74
253,Fitness Saepe 253,Esporte,Fitness,Kairo,149.6,114.43
254,Acessórios Debitis 254,Eletrônicos,Acessórios,Kairo,426.42,325.36
255,Ciclismo A 255,Esporte,Ciclismo,Kairo,155.41,113.0
256,Feminino Numquam 256,Moda,Feminino,Kairo,626.14,322.3
257,Maquiagem Cum 257,Beleza,Maquiagem,Nortem,642.61,424.16
258,Outdoor Consectetur 258,Esporte,Outdoor,Aurora,1073.68,550.94
259,Outdoor Laborum 259,Esporte,Outdoor,Nortem,432.21,298.56
260,Maquiagem Dolorem 260,Beleza,Maquiagem,Nortem,46.48,29.12
261,Cuidados com a Pele Et 261,Beleza,Cuidados com a Pele,Solvex,890.4,502.31
262,Masculino Quo 262,Moda,Masculino,Bruma,773.54,551.43
263,Celulares Ab 263,Eletrônicos,Celulares,Kairo,900.89,594.27
264,Feminino Ducimus 264,Moda,Feminino,Aurora,43.83,20.85
265,Decoração Eaque 265,Casa,Decoração,Bruma,623.6,382.24
266,Perfumaria Non 266,Beleza,Perfumaria,Nortem,321.52,171.0
267,Cuidados com a Pele Voluptates 267,Beleza,Cuidados com a Pele,Bruma,1250.47,502.2
268,Notebooks Dolores 268,Eletrônicos,Notebooks,Aurora,970.59,470.57
269,Móveis Consequuntur 269,Casa,Móveis,Bruma,83.99,57.49
270,Cuidados com a Pele Tenetur 270,Beleza,Cuidados com a Pele,Aurora,106.54,51.94
271,Notebooks Sequi 271,Eletrônicos,Notebooks,Bruma,1096.28,531.69
272,Móveis Ut 272,Casa,Móveis,Bruma,58.35,25.07
273,Fitness Dolores 273,Esporte,Fitness,Bruma,1459.18,784.04
274,Notebooks Atque 274,Eletrônicos,Notebooks,Aurora,776.42,392.88
275,Masculino Libero 275,Moda,Masculino,Bruma,728.05,405.51
276,Celulares Qui 276,Eletrônicos,Celulares,Nortem,387.92,205.44
277,Outdoor Cupiditate 277,Esporte,Outdoor,Bruma,731.97,598.07
278,Decoração Quasi 278,Casa,Decoração,Kairo,759.46,503.93
279,Móveis Rem 279,Casa,Móveis,Solvex,1181.4,504.38
280,Acessórios Porro 280,Eletrônicos,Acessórios,Nortem,1134.58,759.8
281,Ciclismo Ab 281,Esporte,Ciclismo,Kairo,254.51,118.44
282,Maquiagem Vitae 282,Beleza,Maquiagem,Kairo,962.49,552.35
283,Feminino Maiores 283,Moda,Feminino,Nortem,1850.66,776.72
284,Ciclismo Recusandae 284,Esporte,Ciclismo,Kairo,233.7,114.1
285,Maquiagem Consequatur 285,Beleza,Maquiagem,Nortem,1490.5,642.08
286,Perfumaria Nostrum 286,Beleza,Perfumaria,Solvex,833.0,349.75
287,Infantil Corrupti 287,Moda,Infantil,Nortem,1787.22,747.09
288,Acessórios Culpa 288,Eletrônicos,Acessórios,Zenith,920.39,431.04
289,Móveis Provident 289,Casa,Móveis,Vivalta,1282.77,584.39
290,Outdoor Nostrum 290,Esporte,Outdoor,Bruma,868.93,359.97
291,Móveis Error 291,Casa,Móveis,Zenith,837.42,625.5
292,Acessórios Quidem 292,Eletrônicos,Acessórios,Kairo,988.46,497.39
293,Infantil Minima 293,Moda,Infantil,Nortem,404.94,193.42
294,Acessórios Iusto 294,Eletrônicos,Acessórios,Solvex,860.4,626.06
295,Cuidados com a Pele Quo 295,Beleza,Cuidados com a Pele,Solvex,965.32,572.5
296,Outdoor Quo 296,Esporte,Outdoor,Zenith,543.04,384.34
297,Notebooks Beatae 297,Eletrônicos,Notebooks,Nortem,748.77,613.99
298,Fitness Repudiandae 298,Esporte,Fitness,Solvex,1482.06,596.47
299,Masculino Ipsam 299,Moda,Masculino,Vivalta,365.9,149.89
300,Cuidados com a Pele Reiciendis 300,Beleza,Cuidados com a Pele,Zenith,1287.68,553.41
