id_venda,id_pedido,id_cliente,id_produto,id_loja,data_venda,quantidade,preco_unitario,valor_desconto,forma_pagamento
87,37,158,249,14,2026-02-02,1,314.36,0.0,Boleto
88,37,564,130,14,2025-06-17,2,891.63,178.33,Boleto
89,37,1864,8,10,2025-02-28,1,903.56,90.36,Pix
90,38,484,190,8,2026-08-21,2,838.74,0.0,Pix
91,38,1982,271,3,2024-11-28,1,1096.28,0.0,Pix
92,38,1354,254,8,2025-05-04,4,426.42,85.28,Pix
93,38,112,108,11,2025-08-22,5,1051.92,788.94,Boleto
94,39,976,27,5,2025-10-16,2,847.72,84.77,Cartão de Débito
95,40,298,195,9,2025-05-29,4,1162.33,232.47,Cartão de Débito
96,40,1390,7,6,2025-09-29,3,876.77,131.52,Cartão de Crédito
97,41,1881,273,11,2026-05-21,3,1459.18,218.88,Boleto
98,42,1341,139,10,2025-05-22,3,675.35,0.0,Cartão de Débito
99,42,1206,237,13,2026-07-23,2,1446.54,433.96,Pix
100,42,369,267,6,2026-08-10,3,1250.47,562.71,Cartão de Crédito
101,43,1076,35,2,2024-12-12,1,706.31,35.32,Cartão de Débito
102,44,70,113,1,2025-03-19,3,1301.98,0.0,Cartão de Crédito
103,44,1947,30,10,2025-04-13,5,1262.29,946.72,Cartão de Crédito
104,44,770,62,11,2025-01-14,1,368.7,36.87,Pix
105,45,1353,95,15,2025-12-25,3,31.03,0.0,Cartão de Crédito
106,46,1577,142,13,2026-07-18,4,763.58,458.15,Boleto
107,46,1592,132,1,2025-06-13,2,178.37,0.0,Cartão de Débito
108,46,1958,199,14,2025-05-25,3,1026.75,0.0,Boleto
109,46,1902,92,4,2026-01-19,4,1028.57,0.0,Cartão de Débito
110,47,1575,252,7,2026-03-10,1,608.5,0.0,Pix
111,47,212,55,1,2025-05-26,4,85.17,51.1,Cartão de Crédito
112,48,1837,293,8,2024-09-22,3,404.94,60.74,Pix
113,49,1434,20,6,2025-02-05,4,253.65,0.0,Cartão de Débito
114,50,828,264,14,2025-11-23,4,43.83,8.77,Cartão de Crédito
115,51,249,2,10,2026-01-09,4,1151.06,690.64,Boleto
116,51,1295,171,11,2024-10-29,3,609.89,91.48,Cartão de Crédito
117,52,1558,274,13,2025-12-17,3,776.42,0.0,Boleto
118,52,1982,104,7,2024-10-13,2,914.51,182.9,Pix
119,52,1411,154,6,2026-06-10,4,598.7,0.0,Cartão de Débito
120,53,396,225,1,2024-10-09,2,275.61,0.0,Pix
121,54,631,200,8,2026-06-23,1,430.5,43.05,Cartão de Débito
122,54,692,9,13,2024-10-30,1,800.51,0.0,Cartão de Crédito
123,54,1367,208,9,2026-07-04,1,275.76,0.0,Cartão de Débito
124,54,478,275,15,2026-04-19,2,728.05,218.41,Cartão de Crédito
125,55,966,73,15,2024-09-22,4,144.39,86.63,Cartão de Crédito
126,56,103,67,15,2026-06-12,1,1062.73,0.0,Boleto
127,56,1711,50,10,2025-02-24,4,571.87,228.75,Cartão de Crédito
128,57,452,59,2,2026-05-26,4,944.19,377.68,Pix
129,58,1999,173,11,2025-01-04,4,860.35,0.0,Pix
130,58,356,165,6,2026-05-03,2,206.7,0.0,Cartão de Crédito
131,58,345,62,12,2025-11-02,3,368.7,0.0,Boleto
132,58,1896,284,10,2025-05-10,2,233.7,23.37,Cartão de Crédito
133,59,33,52,15,2025-02-11,5,625.97,156.49,Cartão de Débito
134,59,1897,42,2,2025-03-05,1,311.0,0.0,Boleto
135,60,1311,244,5,2025-01-27,2,486.99,0.0,Cartão de Débito
136,60,1417,211,1,2026-05-21,2,1406.91,0.0,Pix
137,60,1693,256,13,2026-06-07,5,626.14,0.0,Boleto
138,60,483,179,4,2026-03-28,4,1223.06,0.0,Cartão de Crédito
139,61,951,186,13,2025-04-15,5,194.01,97.0,Pix
140,62,1404,28,14,2025-02-02,2,608.11,0.0,Cartão de Débito
141,62,1890,255,1,2026-07-21,2,155.41,0.0,Cartão de Crédito
142,62,515,187,6,2025-11-22,3,209.13,0.0,Cartão de Débito
143,63,324,54,13,2025-03-02,1,1039.3,103.93,Cartão de Crédito
144,64,1478,264,8,2025-05-01,1,43.83,0.0,Boleto
145,64,1840,215,6,2026-07-28,2,1191.51,357.45,Pix
146,64,486,57,12,2024-12-12,3,509.97,0.0,Cartão de Débito
147,64,965,103,10,2024-11-17,4,424.8,0.0,Cartão de Débito
148,65,932,224,3,2026-05-20,2,1307.66,0.0,Cartão de Débito
149,66,1295,70,6,2025-03-20,4,514.46,308.68,Boleto
150,66,1418,104,10,2024-10-05,3,914.51,0.0,Cartão de Crédito
151,66,940,144,7,2025-12-23,2,1070.89,0.0,Pix
152,67,1617,113,13,2025-02-10,3,1301.98,390.59,Pix
153,67,844,296,14,2024-11-30,5,543.04,0.0,Cartão de Débito
154,67,572,111,1,2025-12-20,5,363.61,90.9,Cartão de Débito
155,68,456,127,15,2026-04-19,3,173.29,25.99,Pix
156,68,83,294,8,2024-10-18,1,860.4,43.02,Cartão de Crédito
157,69,1683,272,2,2026-08-17,4,58.35,11.67,Cartão de Débito
158,69,1543,254,1,2026-03-28,2,426.42,0.0,Cartão de Débito
159,69,490,112,11,2025-07-02,2,274.15,0.0,Cartão de Crédito
160,69,332,9,12,2025-07-12,4,800.51,480.31,Cartão de Débito
161,70,831,233,3,2026-08-24,4,1109.58,0.0,Boleto
162,71,682,1,9,2026-08-11,1,211.8,10.59,Cartão de Crédito
163,71,1938,152,10,2026-08-18,4,919.9,0.0,Pix
164,71,1055,42,15,2024-10-29,5,311.0,0.0,Boleto
165,71,954,27,10,2025-09-12,1,847.72,42.39,Cartão de Crédito
166,72,1444,188,2,2026-03-29,2,431.42,129.43,Pix
167,72,233,71,11,2026-03-09,3,672.31,0.0,Cartão de Débito
168,72,657,298,6,2025-04-21,2,1482.06,444.62,Boleto
169,73,708,142,8,2025-09-19,1,763.58,0.0,Cartão de Débito
170,73,1454,257,9,2025-12-28,5,642.61,0.0,Boleto
171,73,1937,232,12,2026-07-24,5,337.13,0.0,Cartão de Crédito
172,73,801,97,15,2024-11-24,4,1117.49,0.0,Pix
173,74,230,40,12,2025-06-12,1,380.71,0.0,Pix
174,74,1950,255,11,2026-02-18,2,155.41,0.0,Cartão de Crédito
175,74,1909,151,3,2026-03-11,4,275.84,165.5,Cartão de Débito
176,75,44,216,5,2026-06-25,4,783.09,469.85,Pix
177,75,1321,33,6,2026-02-17,1,729.63,0.0,Cartão de Débito
178,75,1612,297,6,2026-06-26,3,748.77,336.95,Cartão de Débito
179,76,1840,235,13,2025-01-16,3,382.19,114.66,Boleto
180,76,762,88,5,2026-01-11,3,798.47,0.0,Cartão de Crédito
181,76,1959,76,3,2025-12-13,3,990.52,0.0,Pix
182,76,1719,275,12,2025-03-01,3,728.05,0.0,Pix
183,77,1177,122,3,2025-07-24,1,1350.74,0.0,Cartão de Débito
184,77,1152,134,12,2025-04-01,3,920.63,0.0,Cartão de Crédito
185,78,1106,177,3,2025-12-06,2,906.18,0.0,Boleto
186,78,1574,63,3,2026-01-27,1,1424.18,71.21,Cartão de Débito
187,78,1999,164,9,2026-03-16,2,734.92,0.0,Boleto
188,79,302,243,13,2026-07-17,3,893.62,268.09,Cartão de Débito
189,79,1844,174,1,2026-01-06,1,980.07,147.01,Pix
190,79,823,283,10,2024-09-28,1,1850.66,0.0,Pix
191,80,1246,183,11,2024-10-29,1,987.91,0.0,Pix
192,80,401,299,1,2025-06-14,5,365.9,0.0,Cartão de Crédito
193,80,1962,276,2,2026-07-22,4,387.92,232.75,Cartão de Débito
194,80,1240,100,9,2026-05-13,4,746.56,0.0,Cartão de Crédito
195,81,758,204,7,2025-11-14,2,1201.99,360.6,Boleto
196,81,631,7,8,2025-08-28,3,876.77,0.0,Cartão de Crédito
197,81,1646,111,8,2025-11-02,4,363.61,218.17,Boleto
198,82,1225,218,2,2026-04-27,4,544.69,0.0,Pix
199,82,687,107,2,2026-02-22,3,454.23,68.13,Cartão de Débito
200,83,849,4,3,2025-06-09,4,1890.41,1134.25,Cartão de Débito
201,84,1135,103,8,2025-06-26,2,424.8,42.48,Cartão de Crédito
202,84,1146,155,12,2026-01-21,5,950.32,0.0,Cartão de Débito
203,85,615,14,11,2025-05-29,1,1015.33,0.0,Cartão de Débito
204,85,1008,64,15,2025-03-05,3,298.05,44.71,Pix
205,86,1227,62,12,2024-11-10,3,368.7,55.3,Boleto
206,87,1405,290,8,2026-06-08,4,868.93,0.0,Cartão de Crédito
207,87,36,192,14,2026-04-15,5,362.87,272.15,Boleto
208,87,655,84,8,2025-01-30,5,620.58,0.0,Pix
209,87,740,183,7,2025-06-09,2,987.91,0.0,Boleto
210,88,1918,149,2,2026-06-19,3,1286.45,385.94,Pix
211,89,661,49,14,2026-03-13,5,1030.1,0.0,Boleto
212,89,1410,155,6,2026-08-18,3,950.32,427.64,Cartão de Crédito
213,90,577,74,6,2026-02-15,1,266.29,0.0,Cartão de Débito
214,90,447,211,3,2024-12-16,3,1406.91,0.0,Pix
215,90,1703,97,9,2026-08-10,5,1117.49,558.75,Cartão de Crédito
216,91,1892,236,1,2025-01-15,1,516.32,0.0,Cartão de Débito
217,91,285,179,14,2025-09-09,3,1223.06,550.38,Cartão de Débito
218,91,624,268,1,2026-08-30,3,970.59,0.0,Cartão de Crédito
219,91,1410,114,4,2025-01-26,2,495.2,148.56,Boleto
220,92,1415,108,13,2025-11-12,2,1051.92,0.0,Cartão de Crédito
221,92,88,40,4,2025-11-18,1,380.71,19.04,Cartão de Crédito
222,93,244,263,15,2025-12-27,5,900.89,0.0,Boleto
223,94,1546,34,2,2024-09-13,3,1005.42,452.44,Cartão de Crédito
224,95,60,103,2,2025-08-28,2,424.8,127.44,Pix
225,95,329,143,14,2025-08-29,5,601.81,0.0,Pix
226,96,445,51,12,2026-02-26,5,926.05,0.0,Pix
227,97,1893,88,4,2024-12-13,5,798.47,0.0,Cartão de Débito
228,97,1380,188,2,2025-11-27,5,431.42,0.0,Pix
229,97,1054,182,4,2025-04-10,4,1463.1,292.62,Cartão de Débito
230,98,1065,161,3,2024-12-24,1,806.23,40.31,Cartão de Débito
231,99,169,148,6,2024-10-14,5,276.53,207.4,Cartão de Débito
232,99,1230,60,12,2025-12-14,4,599.31,0.0,Boleto
233,99,596,228,14,2025-10-25,2,415.71,83.14,Cartão de Débito
234,100,368,36,1,2025-09-14,4,594.22,356.53,Cartão de Débito
235,100,1349,54,11,2026-02-20,4,1039.3,207.86,Cartão de Crédito
236,101,1210,74,2,2026-08-15,4,266.29,53.26,Pix
237,102,1219,187,14,2025-03-27,2,209.13,0.0,Cartão de Débito
238,103,571,120,13,2026-01-27,4,1701.13,1020.68,Boleto
239,104,1946,183,7,2026-05-13,4,987.91,592.75,Cartão de Débito
240,104,222,262,2,2025-12-12,3,773.54,0.0,Boleto
241,104,1931,251,3,2026-06-08,4,1005.83,0.0,Cartão de Crédito
242,104,1389,51,1,2026-01-26,1,926.05,0.0,Pix
243,105,1277,168,2,2026-06-01,2,412.75,0.0,Cartão de Crédito
244,105,602,267,11,2025-03-28,4,1250.47,250.09,Cartão de Débito
245,105,704,252,13,2026-03-12,5,608.5,0.0,Cartão de Crédito
246,105,922,17,6,2025-09-30,4,437.82,0.0,Cartão de Débito
247,106,1141,236,11,2025-03-03,1,516.32,0.0,Boleto
248,106,640,85,12,2025-01-18,4,140.12,28.02,Cartão de Débito
249,106,1005,250,11,2026-07-26,1,565.12,56.51,Cartão de Débito
250,106,115,244,7,2026-02-03,5,486.99,0.0,Boleto
251,107,1570,194,5,2025-08-30,5,511.69,383.77,Boleto
252,107,263,32,14,2024-10-19,1,1035.43,103.54,Boleto
253,107,699,179,7,2026-06-05,5,1223.06,0.0,Cartão de Crédito
254,107,720,220,1,2025-10-29,3,71.48,0.0,Pix
255,108,1865,121,12,2024-11-28,3,368.63,110.59,Cartão de Crédito
256,108,41,157,9,2025-02-23,1,489.12,0.0,Boleto
257,109,1847,236,7,2026-02-12,4,516.32,206.53,Boleto
258,110,774,241,10,2025-07-24,5,66.18,0.0,Cartão de Débito
259,111,1415,294,11,2024-12-14,1,860.4,43.02,Pix
260,111,696,173,3,2026-07-18,4,860.35,344.14,Boleto
261,111,1302,187,14,2026-01-24,4,209.13,0.0,Cartão de Crédito
262,112,1175,148,7,2025-07-04,3,276.53,0.0,Pix
263,112,690,48,5,2026-05-02,5,793.75,0.0,Cartão de Crédito
264,113,1335,219,14,2024-11-20,2,1023.98,0.0,Boleto
265,113,1106,259,6,2026-07-14,3,432.21,64.83,Pix
266,113,1056,213,8,2026-06-04,4,21.45,0.0,Pix
267,113,1023,10,4,2026-04-16,5,615.69,0.0,Cartão de Débito
268,114,1489,273,11,2026-04-05,5,1459.18,364.8,Cartão de Crédito
269,114,303,268,4,2025-12-20,2,970.59,0.0,Pix
270,114,1762,154,14,2025-07-26,4,598.7,119.74,Cartão de Crédito
271,115,329,212,5,2026-06-26,3,826.84,0.0,Pix
272,115,394,208,1,2025-02-03,2,275.76,0.0,Pix
273,116,865,238,11,2025-11-23,4,275.16,110.06,Cartão de Crédito
274,116,60,104,5,2025-01-20,2,914.51,0.0,Boleto
275,116,1974,282,12,2024-10-16,2,962.49,288.75,Cartão de Débito
276,117,611,29,14,2026-05-12,1,230.05,0.0,Cartão de Crédito
277,118,484,187,2,2025-01-24,1,209.13,10.46,Cartão de Crédito
278,118,1017,268,15,2025-05-18,5,970.59,485.3,Cartão de Crédito
279,118,675,122,14,2025-07-20,5,1350.74,0.0,Cartão de Débito
280,118,219,121,3,2025-01-28,4,368.63,0.0,Pix
281,119,115,226,8,2026-04-29,4,1851.85,0.0,Boleto
282,119,973,58,11,2025-11-10,3,1042.89,312.87,Pix
283,119,1466,143,6,2026-01-02,2,601.81,0.0,Boleto
284,120,491,18,5,2026-07-22,1,743.22,111.48,Cartão de Débito
285,121,1757,186,8,2025-05-03,1,194.01,19.4,Cartão de Débito
286,121,185,5,15,2025-07-08,4,30.9,0.0,Pix
287,121,1294,153,6,2025-11-26,2,1145.38,0.0,Cartão de Débito
288,122,1510,141,7,2025-12-29,1,997.12,49.86,Boleto
289,123,1037,52,2,2025-05-28,2,625.97,187.79,Boleto
290,123,1511,216,6,2026-03-17,5,783.09,587.32,Cartão de Débito
291,123,377,15,11,2026-06-21,1,118.57,17.79,Cartão de Débito
292,123,1287,70,5,2025-03-26,1,514.46,25.72,Boleto
293,124,1462,57,13,2026-02-13,2,509.97,0.0,Pix
294,125,534,164,3,2025-01-17,4,734.92,146.98,Boleto
295,125,753,145,3,2025-11-01,2,1639.21,0.0,Cartão de Débito
296,125,1942,194,1,2024-09-24,5,511.69,0.0,Pix
297,125,1437,46,14,2025-05-29,4,228.38,0.0,Pix
298,126,533,206,3,2026-05-10,5,637.29,159.32,Cartão de Crédito
299,127,1472,88,9,2024-09-17,5,798.47,0.0,Cartão de Débito
300,127,1462,233,4,2025-04-20,4,1109.58,0.0,Pix
301,127,783,137,3,2026-01-22,3,738.12,332.15,Cartão de Débito
302,128,388,111,7,2026-07-28,3,363.61,163.62,Pix
303,128,2000,210,5,2025-06-27,2,712.27,0.0,Pix
304,129,1326,128,8,2026-08-04,3,641.69,192.51,Cartão de Crédito
305,129,1996,6,12,2025-07-31,4,1544.84,0.0,Cartão de Débito
306,129,1508,109,10,2025-11-10,4,895.92,537.55,Boleto
307,129,107,38,6,2024-11-02,1,859.49,85.95,Pix
308,130,1454,182,12,2026-05-08,5,1463.1,1097.33,Cartão de Crédito
309,130,781,3,5,2026-05-30,3,489.61,146.88,Cartão de Débito
310,130,1189,190,3,2024-10-15,2,838.74,167.75,Boleto
311,130,1798,87,8,2025-08-16,5,1429.92,357.48,Pix
312,131,534,163,2,2025-01-26,5,933.12,233.28,Boleto
313,132,1897,66,7,2025-09-07,4,1724.65,0.0,Boleto
314,133,1829,136,3,2025-11-23,5,361.57,0.0,Boleto
315,133,1304,252,13,2026-07-08,2,608.5,121.7,Cartão de Débito
316,133,471,28,3,2024-10-28,2,608.11,0.0,Cartão de Crédito
317,134,894,134,2,2025-12-25,2,920.63,276.19,Cartão de Débito
318,134,1149,21,8,2026-08-30,4,598.92,0.0,Cartão de Débito
319,134,254,253,6,2025-02-01,1,149.6,22.44,Cartão de Crédito
320,134,1536,105,9,2025-02-22,3,1187.98,0.0,Boleto
321,135,370,299,7,2026-04-10,1,365.9,36.59,Cartão de Crédito
322,135,1818,127,6,2024-12-08,4,173.29,103.97,Cartão de Crédito
323,136,1903,63,2,2026-04-30,4,1424.18,0.0,Boleto
324,136,1702,79,12,2025-12-18,1,178.48,0.0,Cartão de Débito
325,136,12,233,6,2026-07-08,3,1109.58,332.87,Cartão de Crédito
326,137,1768,167,1,2025-04-07,5,304.68,0.0,Boleto
327,137,1121,166,10,2024-11-14,1,52.91,7.94,Cartão de Débito
328,137,492,48,13,2025-03-04,4,793.75,0.0,Cartão de Débito
329,137,796,46,13,2025-02-16,1,228.38,0.0,Cartão de Débito
330,138,1641,79,7,2026-01-18,1,178.48,0.0,Boleto
331,138,1705,68,6,2024-12-10,3,415.91,187.16,Pix
332,138,550,251,10,2026-01-03,4,1005.83,201.17,Cartão de Débito
333,139,890,217,11,2025-03-12,3,404.89,121.47,Cartão de Débito
334,140,1386,21,4,2025-12-21,5,598.92,0.0,Pix
335,141,959,270,7,2025-06-27,5,106.54,0.0,Cartão de Crédito
336,141,1402,245,15,2025-01-11,3,763.81,0.0,Boleto
337,141,1165,128,1,2025-07-02,5,641.69,160.42,Cartão de Crédito
338,141,871,24,7,2026-02-07,5,1011.94,0.0,Cartão de Crédito
339,142,1200,292,2,2025-05-21,3,988.46,0.0,Cartão de Crédito
340,142,1727,59,7,2025-03-08,4,944.19,0.0,Cartão de Crédito
341,142,643,43,10,2025-07-04,4,343.26,205.96,Cartão de Débito
342,142,1980,231,15,2025-08-18,5,1217.99,0.0,Pix
343,143,532,95,14,2026-05-14,1,31.03,4.65,Cartão de Crédito
344,143,809,223,2,2024-09-08,5,771.16,0.0,Cartão de Crédito
345,144,1780,245,11,2025-10-22,4,763.81,458.29,Cartão de Débito
346,144,1415,156,11,2025-09-07,5,497.24,248.62,Cartão de Débito
347,145,391,45,2,2024-09-17,2,187.71,0.0,Cartão de Crédito
348,145,1329,97,3,2026-01-08,1,1117.49,0.0,Pix
349,145,617,224,13,2024-11-30,5,1307.66,0.0,Cartão de Débito
350,146,341,243,15,2024-12-31,4,893.62,0.0,Pix
351,146,1761,228,8,2024-09-23,4,415.71,83.14,Pix
352,147,684,151,1,2024-10-25,5,275.84,68.96,Cartão de Crédito
353,147,1221,222,12,2026-04-18,4,631.47,126.29,Boleto
354,148,1211,250,12,2026-02-10,4,565.12,113.02,Cartão de Débito
355,149,1181,32,6,2025-11-09,5,1035.43,0.0,Cartão de Crédito
356,149,1014,138,10,2024-12-31,4,1523.37,304.67,Boleto
357,150,1488,224,4,2025-06-24,1,1307.66,0.0,Cartão de Débito
358,150,450,177,10,2026-02-04,4,906.18,0.0,Boleto
359,150,800,240,7,2026-09-01,2,803.74,0.0,Boleto
360,150,579,242,12,2025-04-03,2,1086.89,217.38,Cartão de Crédito
361,151,1241,67,8,2025-02-10,2,1062.73,0.0,Cartão de Crédito
362,151,429,213,9,2025-05-01,4,21.45,0.0,Cartão de Crédito
363,151,1387,10,3,2025-09-03,3,615.69,0.0,Pix
364,151,882,258,2,2025-08-14,1,1073.68,0.0,Pix
365,152,697,288,13,2025-05-25,2,920.39,92.04,Boleto
366,153,1790,286,9,2026-08-10,3,833.0,0.0,Cartão de Crédito
367,154,1601,225,10,2024-12-20,4,275.61,0.0,Cartão de Crédito
368,155,242,260,14,2026-06-10,1,46.48,0.0,Pix
369,156,1561,81,9,2025-11-29,3,360.13,162.06,Cartão de Débito
370,156,686,51,14,2025-09-10,2,926.05,277.81,Pix
371,156,1576,63,13,2025-11-02,2,1424.18,142.42,Cartão de Crédito
372,157,351,243,2,2026-02-02,3,893.62,0.0,Boleto
373,157,1362,191,4,2026-06-09,4,119.85,0.0,Pix
374,158,1881,117,7,2025-10-31,2,1202.34,120.23,Cartão de Débito
375,158,299,265,13,2025-11-30,3,623.6,0.0,Cartão de Crédito
376,158,645,265,7,2025-08-15,1,623.6,0.0,Pix
377,158,1353,223,15,2024-10-10,1,771.16,38.56,Pix
378,159,1815,267,11,2025-10-19,3,1250.47,187.57,Boleto
379,160,1251,177,15,2026-02-25,1,906.18,0.0,Pix
380,160,1818,207,9,2025-04-01,4,723.42,434.05,Cartão de Débito
381,160,173,177,1,2025-07-08,4,906.18,0.0,Boleto
382,161,438,65,2,2025-06-20,5,412.58,206.29,Boleto
383,161,48,267,1,2025-02-13,3,1250.47,562.71,Boleto
384,161,1035,124,2,2025-11-09,3,362.72,163.22,Cartão de Crédito
385,161,726,191,2,2026-02-04,3,119.85,53.93,Cartão de Crédito
386,162,929,230,6,2024-09-08,3,1147.21,344.16,Pix
387,163,1608,180,14,2026-07-17,3,541.8,0.0,Pix
388,163,216,194,6,2025-05-14,5,511.69,383.77,Pix
389,164,872,233,14,2026-09-01,1,1109.58,0.0,Cartão de Débito
390,164,1820,42,3,2025-11-12,1,311.0,0.0,Cartão de Débito
391,164,1387,110,9,2025-09-16,4,913.36,0.0,Cartão de Débito
392,165,868,136,8,2026-06-16,5,361.57,90.39,Cartão de Débito
393,165,261,214,8,2026-02-02,2,835.96,0.0,Cartão de Débito
394,165,1423,67,4,2025-01-01,5,1062.73,531.37,Cartão de Débito
395,165,1934,243,9,2025-02-10,1,893.62,134.04,Boleto
396,166,1171,210,5,2025-09-16,1,712.27,0.0,Cartão de Crédito
397,167,622,61,5,2025-09-21,3,1202.47,0.0,Cartão de Débito
398,167,864,15,1,2026-04-29,2,118.57,0.0,Boleto
